ACFT_ID;Profile_ID;Stage Length;Step Number;Step Type;Thrust Rating;Flap_ID;End Point Altitude (ft);Rate Of Climb (ft/min);End Point CAS (kt);Accel Percentage (%)
717200;ICAO_B;2;3;Accelerate;MaxTakeoff;T_13A;;2003.2;185.0;
717200;ICAO_B;2;4;Climb;MaxClimb;T_00B;3000.0;;;
717200;ICAO_B;2;5;Accelerate;MaxClimb;T_00B;;1000.0;250.0;
717200;ICAO_B;2;6;Climb;MaxClimb;T_00B;5500.0;;;
717200;ICAO_B;2;7;Climb;MaxClimb;T_00B;7500.0;;;
717200;ICAO_B;2;8;Climb;MaxClimb;T_00B;10000.0;;;
717200;ICAO_B;3;1;Takeoff;MaxTakeoff;T_13A;;;;
717200;ICAO_B;3;2;Climb;MaxTakeoff;T_13A;1000.0;;;
717200;ICAO_B;3;3;Accelerate;MaxTakeoff;T_13A;;1874.4;183.8;
717200;ICAO_B;3;4;Climb;MaxClimb;T_00B;3000.0;;;
717200;ICAO_B;3;5;Accelerate;MaxClimb;T_00B;;1000.0;250.0;
717200;ICAO_B;3;6;Climb;MaxClimb;T_00B;5500.0;;;
717200;ICAO_B;3;7;Climb;MaxClimb;T_00B;7500.0;;;
717200;ICAO_B;3;8;Climb;MaxClimb;T_00B;10000.0;;;
717200;ICAO_B;4;1;Takeoff;MaxTakeoff;T_13A;;;;
717200;ICAO_B;4;2;Climb;MaxTakeoff;T_13A;1000.0;;;
717200;ICAO_B;4;3;Accelerate;MaxTakeoff;T_13A;;1756.2;182.7;
717200;ICAO_B;4;4;Climb;MaxClimb;T_00B;3000.0;;;
717200;ICAO_B;4;5;Accelerate;MaxClimb;T_00B;;1000.0;250.0;
717200;ICAO_B;4;6;Climb;MaxClimb;T_00B;5500.0;;;
717200;ICAO_B;4;7;Climb;MaxClimb;T_00B;7500.0;;;
717200;ICAO_B;4;8;Climb;MaxClimb;T_00B;10000.0;;;
717200;ICAO_B;5;1;Takeoff;MaxTakeoff;T_13A;;;;
717200;ICAO_B;5;2;Climb;MaxTakeoff;T_13A;1000.0;;;
717200;ICAO_B;5;3;Accelerate;MaxTakeoff;T_13A;;1705.9;192.7;
717200;ICAO_B;5;4;Climb;MaxClimb;T_00B;3000.0;;;
717200;ICAO_B;5;5;Accelerate;MaxClimb;T_00B;;1000.0;250.0;
717200;ICAO_B;5;6;Climb;MaxClimb;T_00B;5500.0;;;
717200;ICAO_B;5;7;Climb;MaxClimb;T_00B;7500.0;;;
717200;ICAO_B;5;8;Climb;MaxClimb;T_00B;10000.0;;;
717200;ICAO_B;6;1;Takeoff;MaxTakeoff;T_13A;;;;
717200;ICAO_B;6;2;Climb;MaxTakeoff;T_13A;1000.0;;;
717200;ICAO_B;6;3;Accelerate;MaxTakeoff;T_13A;;1540.3;191.2;
717200;ICAO_B;6;4;Climb;MaxClimb;T_00B;3000.0;;;
717200;ICAO_B;6;5;Accelerate;MaxClimb;T_00B;;1000.0;250.0;
717200;ICAO_B;6;6;Climb;MaxClimb;T_00B;5500.0;;;
717200;ICAO_B;6;7;Climb;MaxClimb;T_00B;7500.0;;;
717200;ICAO_B;6;8;Climb;MaxClimb;T_00B;10000.0;;;
720B;DEFAULT;1;1;Takeoff;MaxTakeoff;20;;;;
720B;DEFAULT;1;2;Climb;MaxTakeoff;20;1000.0;;;
720B;DEFAULT;1;3;Accelerate;MaxTakeoff;20;;2632.0;175.0;
720B;DEFAULT;1;4;Accelerate;MaxClimb;INT;;1000.0;195.0;
720B;DEFAULT;1;5;Climb;MaxClimb;ZERO;3000.0;;;
720B;DEFAULT;1;6;Accelerate;MaxClimb;ZERO;;1000.0;250.0;
720B;DEFAULT;1;7;Climb;MaxClimb;ZERO;5500.0;;;
720B;DEFAULT;1;8;Climb;MaxClimb;ZERO;7500.0;;;
720B;DEFAULT;1;9;Climb;MaxClimb;ZERO;10000.0;;;
720B;DEFAULT;2;1;Takeoff;MaxTakeoff;20;;;;
720B;DEFAULT;2;2;Climb;MaxTakeoff;20;1000.0;;;
720B;DEFAULT;2;3;Accelerate;MaxTakeoff;20;;2470.0;179.0;
720B;DEFAULT;2;4;Accelerate;MaxClimb;INT;;1000.0;199.0;
720B;DEFAULT;2;5;Climb;MaxClimb;ZERO;3000.0;;;
720B;DEFAULT;2;6;Accelerate;MaxClimb;ZERO;;1000.0;250.0;
720B;DEFAULT;2;7;Climb;MaxClimb;ZERO;5500.0;;;
720B;DEFAULT;2;8;Climb;MaxClimb;ZERO;7500.0;;;
