ACFT_ID;Thrust Rating;E;F;Ga;Gb;H;K1;K2;K3;K4
757300;MaxClimbHiTemp;36157.0;-30.96433;-0.16465;0;-250.7;;;;
757300;MaxTakeoff;40175.5;-35.32304;-0.113276;0;0;;;;
757300;MaxTkoffHiTemp;46892.4;-35.61274;-0.53031;0;-241.7;;;;
757PW;General;-44951.0;-0.83;0.0198;0;0;52972;0;;
757PW;MaxClimb;27775.1;-27.6876;0.381725;0;0;;;;
757PW;MaxClimbHiTemp;34748.3;-29.94669;-0.16641;0;-250.7;;;;
757PW;MaxTakeoff;36214.8;-48.27043;0.908044;0;0;;;;
757PW;MaxTkoffHiTemp;45592.5;-49.73832;0.213208;0;-290.6;;;;
757RR;General;-44907.0;-21.97;-0.0589;0;0;46999;0;;
757RR;MaxClimb;30065.2;-32.47787;0.397321;0;0;;;;
757RR;MaxClimbHiTemp;36735.1;-32.44499;-0.168708;0;-258.4;;;;
757RR;MaxTakeoff;37802.1;-38.2839;0.527181;0;0;;;;
757RR;MaxTkoffHiTemp;45336.5;-39.13017;-0.005141;0;-257.4;;;;
767300;General;-49250.0;0;0;0;0;62210;0;;
767300;MaxClimb;45480.0;-41.9;0.559;0;0;;;;
767300;MaxTakeoff;56370.0;-53;0.251;0;0;;;;
767400;MaxClimb;45902.7;-39.58948;0.633446;0;0;;;;
767400;MaxClimbHiTemp;63647.5;-41.082;-0.55;0;-562.3;;;;
767400;MaxTakeoff;60475.4;-56.80413;0.478788;0;0;;;;
767400;MaxTkoffHiTemp;72425.5;-55.569;-0.236;0;-416.2;;;;
767CF6;General;62790.0;-35.03;-0.1177;0;0;;;-1610.37;14
767CF6;MaxClimb;38057.0;-43.24;0.705;0;0;;;;
767CF6;MaxTakeoff;44769.0;-48.34;0.5;0;0;;;;
767JT9;General;-39777.0;-17.367;-0.0467;0;0;56550;0;;
767JT9;MaxClimb;38700.0;-34.5;0.49;0;0;;;;
767JT9;MaxTakeoff;43190.0;-38.3;0.876;0;0;;;;
777200;General;32710.0;0;0;0;0;;;-1258;16.16
777200;MaxClimb;67093.7;-85.75534;1.8498;-7.6E-5;0;;;;
777200;MaxClimbHiTemp;82096.7;-72.2859;-0.32818;-1.79E-5;-637;;;;
777200;MaxTakeoff;93672.6;-122.25116;1.1818;-8.06E-5;0;;;;
777200;MaxTkoffHiTemp;114758.6;-125.38;-0.159002;-2.61E-5;-702.4;;;;
777300;MaxClimb;64636.2;-70.83301;0.880073;0;0;;;;
777300;MaxClimbHiTemp;90015.1;-70.745;-0.852;0;-823;;;;
777300;MaxTakeoff;87833.8;-97.78943;0.27543;0;0;;;;
777300;MaxTkoffHiTemp;103835.2;-97.831;-0.632;0;-549.1;;;;
7773ER;IdleApproach;8950.0;-27.25;0.131;0;0;;;;
7773ER;MaxClimb;92110.0;-119;1.14;-7.0E-6;0;;;;
7773ER;MaxClimbHiTemp;96550.0;-69.4;-0.542;-5.0E-5;-533;;;;
7773ER;MaxTakeoff;112250.0;-120;0.713;-0.00011;0;;;;
7878R;IdleApproach;3425.0;-12.03;0.0955;0;0;;;;
7878R;MaxClimb;61142.6;-78.81158;1.219801;-3.9E-5;0;;;;
7878R;MaxClimbHiTemp;65000.0;-55;0.1;-2.0E-5;-404.27412;;;;
7878R;MaxTakeoff;71214.6;-93.47961;0.652462;2.0E-6;0;;;;
7878R;MaxTkoffHiTemp;86784.2;-92;-0.270213;-1.0E-5;-520.48813;;;;
A300-622R;General;-148951.6;-6.71;-0.03;0;0;203740;-50104.7;;
A300-622R;IdleApproach;8432.8;-47.76615;0.750523;-5.91E-5;0;;;;
A300-622R;IdleApproachHiTemp;8432.8;-47.76615;0.750523;-5.91E-5;0;;;;
A300-622R;MaxClimb;44457.2;-45.77803;0.735506;-1.58E-5;0;;;;
A300-622R;MaxClimbHiTemp;52183.7;-44.19293;0;0;-271;;;;
A300-622R;MaxTakeoff;56307.1;-50.91571;0.405632;-2.1E-6;0;;;;
A300-622R;MaxTkoffHiTemp;61250.3;-51.53727;0;0;-192;;;;
A300B4-203;General;-132687.0;-30.4092;-0.107958;4.03E-7;0;;;2535.75;-8.23842
A300B4-203;MaxClimb;43416.5;-35;-0.125234;6.27E-7;0;;;;
A300B4-203;MaxTakeoff;49336.9;-39.8243;-0.142311;7.13E-7;0;;;;
A310-304;General;41317.0;-32.9;-0.0857;-1.6E-6;0;-1131.6;11.8;;
A310-304;IdleApproach;4613.2;-22.01362;0.0821334;-2.74E-6;0;;;;
A310-304;IdleApproachHiTemp;4613.2;-22.01362;0.0821334;-2.74E-6;0;;;;
A310-304;MaxClimb;42008.0;-49.57061;1.64076;-4.31E-5;0;;;;
A310-304;MaxClimbHiTemp;55143.3;-37.48389;0;0;-505;;;;
A310-304;MaxTakeoff;50530.5;-51.15378;1.26398;-1.28E-5;0;;;;
A310-304;MaxTkoffHiTemp;71457.7;-50.77683;0;0;-608;;;;
A319-131;General;-105513.0;-6.58;0.006828;-8.06E-7;0;149900;-42300;;
A319-131;IdleApproach;1219.5;-7.22737;0.154266;-7.96E-6;0;;;;
A319-131;IdleApproachHiTemp;1219.5;-7.22737;0.154266;-7.96E-6;0;;;;
A319-131;MaxClimb;14957.2;1.71654;0.442593;-1.38E-5;0;;;;
A319-131;MaxClimbHiTemp;12977.6;18.59062;0;0;-78.7;;;;
A319-131;MaxTakeoff;21435.4;-21.32355;0.309465;1.26E-5;0;;;;
A319-131;MaxTkoffHiTemp;23853.8;-18.73111;0;0;-76.8;;;;
A320-211;General;24380.0;-18.534;-0.07842;-2.51E-7;0;;;-669.457;6.9451
